Cases,Deaths,Recovered,Travel_history,Province
16,0,0,Local - Social Contact,Punjab
12,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
7,1,0,Iran/Taftan,Punjab
2,0,0,Local - Social Contact,Islamabad Capital Territory
11,0,1,Unknown,Gilgit-Baltistan
5,0,0,Unknown,Gilgit-Baltistan
7,0,0,Iran/Taftan,Sindh
4,0,1,Local - Social Contact,Sindh
7,0,0,Unknown,Khyber Pakhtunkhwa
2,0,0,Unknown,Khyber Pakhtunkhwa
3,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Unknown,Khyber Pakhtunkhwa
3,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Iran/Taftan,Khyber Pakhtunkhwa
34,0,0,Unknown,Khyber Pakhtunkhwa
3,0,0,Unknown,Khyber Pakhtunkhwa
2,0,0,Unknown,Khyber Pakhtunkhwa
3,0,0,Unknown,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
30,2,1,Iran/Taftan,Punjab
0,0,2,Unknown,Baluchistan
1,0,0,Local - Social Contact,Punjab
1,1,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Unknown,Khyber Pakhtunkhwa
4,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
26,0,0,Iran/Taftan,Punjab
14,0,0,Local - Social Contact,Punjab
4,0,0,Local - Social Contact,Punjab
10,0,0,Local - Social Contact,Punjab
5,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
29,0,0,Local - Social Contact,Punjab
5,0,0,Local - Social Contact,Punjab
21,0,0,Iran/Taftan,Punjab
12,0,0,International Passenger,Islamabad Capital Territory
25,1,0,Local - Social Contact,Sindh
4,0,0,Local - Social Contact,Sindh
5,0,0,Local - Social Contact,Baluchistan
8,0,1,Local - Social Contact,Gilgit-Baltistan
1,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Unknown,Khyber Pakhtunkhwa
4,0,1,Local - Social Contact,Islamabad Capital Territory
0,0,3,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
3,0,0,Local - Social Contact,Punjab
7,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
11,0,0,Local - Social Contact,Punjab
5,0,0,Iran/Taftan,Punjab
1,1,0,Local - Social Contact,Punjab
4,0,0,Unknown,Azad Jummu Kashmir
33,2,3,Local - Social Contact,Sindh
0,1,0,Local - Social Contact,Gilgit-Baltistan
5,0,0,Unknown,Gilgit-Baltistan
2,0,0,Iran/Taftan,Gilgit-Baltistan
3,0,0,Local - Social Contact,Gilgit-Baltistan
2,0,0,Unknown,Gilgit-Baltistan
1,1,0,Unknown,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,1,0,Unknown,Khyber Pakhtunkhwa
8,0,1,Local - Social Contact,Islamabad Capital Territory
11,0,1,Local - Social Contact,Punjab
14,0,0,Unknown,Punjab
8,0,0,Local - Social Contact,Punjab
26,0,1,Iran/Taftan,Punjab
21,4,2,Local - Social Contact,Sindh
6,0,23,Local - Social Contact,Sindh
6,0,0,Local - Social Contact,Baluchistan
18,0,4,Unknown,Gilgit-Baltistan
1,0,0,Local - Social Contact,Federal Administration Tribal Area
3,0,0,Iran/Taftan,Khyber Pakhtunkhwa
1,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
